Country,ISO2,ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,Climate Influence,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Australia,AU,AUS,Climate Altering Land Cover Index,Index,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCA,Climate Altering Land Cover Index,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Climate Altering Land Cover Index",Climate altering,94.78523093845999,94.81757535179909,94.8081173090794,95.0311851493593,95.1516799238288,95.3613726069585,95.6785350055107,96.6605385835684,97.7288930256353,98.3679970592779,98.8138962109835,99.1705391035741,99.39420258131611,99.4489213555432,99.3500024100408,99.0453212572686,99.2144908429931,99.4640359737196,98.858430922064,99.7398078283065,99.8348481841015,99.7175923960405,99.8955558581673,100.0,99.9731590097404,100.02441970021201,100.00668652149,99.9638432192403,99.9974268232357
Australia,AU,AUS,Artificial surfaces (including urban and associated areas),1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCS,Artificial Surfaces (Including Urban and Associated Areas),"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Artificial Surfaces (Including Urban and Associated Areas)",Climate altering,576.0741999999999,591.6003000000001,606.3358000000001,620.3447,633.6735,645.5084,656.3551,667.167,679.4146,731.9684,758.1726,773.7103000000001,785.4289,813.9408000000001,828.9786,841.0809,847.1146,855.0549,862.9429,869.8369,873.4176,879.091,886.1245,891.9431,900.5054,910.1081999999999,916.7755,931.0576,930.9995
Australia,AU,AUS,Grassland,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCG,Grassland,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Grassland",Climate regulating,128486.3963,128486.82179999999,128486.3169,128170.5512,127843.71579999999,127860.0314,127585.8495,127772.333,128513.0595,128584.3352,128811.24829999999,129197.91470000001,130038.612,129792.8594,129589.9043,129457.6863,129259.4274,129311.1113,129093.2219,129173.9748,129376.3272,129804.8662,130532.84659999999,130533.1966,131040.7242,131698.6319,138114.3945,139535.6727,140993.7049
Australia,AU,AUS,Herbaceous crops,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCH,Herbaceous Crops,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Herbaceous Crops",Climate altering,50527.730200000005,50529.707700000006,50509.8202,50616.0924,50667.7198,50768.908200000005,50929.0947,51447.6813,52011.5243,52303.5208,52517.6941,52694.4701,52803.3522,52804.336200000005,52735.9286,52559.5665,52644.7475,52771.4195,52437.0118,52905.2724,52952.944899999995,52884.027299999994,52972.9749,53023.4701,53000.4313,53018.3767,53002.1892,52964.866200000004,52982.948
Australia,AU,AUS,Inland water bodies,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCW,Inland Water Bodies,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Inland Water Bodies",Climate regulating,1490.6253000000002,1490.4471,1490.3076,1505.2504,1527.5096,1553.4271,1572.7333999999998,1594.5276000000001,1615.6243,1581.3054,1523.4949,1458.7323000000001,1450.0053,1430.0557,1413.3535,1406.3316,1392.2026,1387.9553,1405.1923000000002,1426.2812,1433.3186,1437.0078,1437.0078,1436.8993,1439.1857,1439.7282,1439.2865,1434.0084,1432.9853999999998
Australia,AU,AUS,Mangroves,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCM,Mangroves,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Mangroves",Climate regulating,2526.3545,2525.843,2525.1842,2527.9046000000003,2536.6161,2541.1656000000003,2546.6219,2555.8061000000002,2557.519,2558.5188,2560.8672,2567.6953,2572.6477999999997,2578.0809,2589.9467999999997,2592.9385,2598.635,2605.0214,2605.4012000000002,2603.6186000000002,2602.9985,2602.735,2600.7974,2600.7121,2597.0462,2597.2942000000003,2598.4645,2600.1696,2601.1307
Australia,AU,AUS,Permanent snow and glaciers,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCL,Permanent Snow and Glaciers,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Permanent Snow and Glaciers",Climate regulating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,AU,AUS,Shrub-covered areas,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCC,Shrub-Covered Areas,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Shrub-Covered Areas",Climate regulating,184454.5202,184444.55719999998,184434.43769999998,184518.9357,184247.0495,183993.1892,183598.455,182821.4136,181970.872,181480.7301,180969.482,180434.9609,180230.4294,180019.7458,179813.678,179788.67680000002,179830.9583,179767.775,180027.62290000002,180131.51309999998,180152.84519999998,180124.4113,180218.8797,180215.94030000002,180246.16780000002,180237.2076,180193.6771,179879.9484,179996.4271
Australia,AU,AUS,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCV,Shrubs and/or Herbaceous Vegetation and Aquatic Or Regularly Flooded,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Shrubs and/or Herbaceous Vegetation and Aquatic Or Regularly Flooded",Climate regulating,10077.1,10077.0,10076.9,10054.2,10044.7,10031.0,10023.5,10004.0,9993.1917,10011.8,10014.3,10021.6,10025.1,10027.4,10029.4,10030.8,10035.7,10041.0,10044.1,10050.5,10050.4,10050.1,10057.4,10057.4,10059.3,10060.5,10063.3,10058.4,10056.5
Australia,AU,AUS,Sparsely natural vegetated areas,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCN,Sparsely Natural Vegetated Areas,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Sparsely Natural Vegetated Areas",Climate neutral,279546.0,279546.0,279546.0,280008.0,280399.0,280489.0,280911.0,281225.0,280993.0,281863.0,281996.0,281882.0,280929.0,281425.0,281802.0,282267.0,282595.0,282689.0,283390.0,284141.0,284361.0,283905.0,283143.0,283143.0,282671.0,282041.0,275684.0,274191.0,272552.0
Australia,AU,AUS,Terrestrial barren land,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCT,Terrestrial Barren Land,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Terrestrial Barren Land",Climate neutral,36965.3,36965.1,36965.1,36960.7,36938.1,36897.9,36920.0,36774.0,36687.0,36465.1,36441.3,36526.7,36674.3,36548.7,36474.6,36136.6,35947.0,35733.4,35165.3,34316.5,33877.0,33879.9,33840.2,33840.0,33704.1,33620.7,33379.6,33148.4,33011.5
Australia,AU,AUS,Tree-covered areas,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCE,Tree-Covered Areas,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Tree-Covered Areas",Climate regulating,76753.5388,76752.5673,76751.5565,76366.0705,76549.87670000001,76621.3853,76630.1473,76491.3742,76281.556,75686.37509999999,75646.1483,75640.87090000001,75758.282,75838.1943,75946.4588,75956.7435,75973.70490000001,76079.0507,75861.283,75700.344,75683.047,75730.0327,75694.6975,75693.6643,75734.04109999999,75778.5589,75998.0365,76614.0025,76797.9356
Australia,AU,AUS,Woody crops,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCR,Woody Crops,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Woody Crops",Climate regulating,554.2916,549.2681,566.1584,610.2671,570.2197,556.1653,584.4322,604.1086,655.8774000000001,691.6168,719.1174,759.5804,691.2454,680.0043000000001,733.5318000000001,920.5027,833.5274000000001,718.2245,1066.8633,639.4723,595.1838,660.9486999999999,574.642,522.3777,566.0292,555.1482,568.1128,601.1451,601.3503000000001
