Country,ISO2,ISO3,Indicator,Technology,Energy Type,Unit,Source,CTS Name,CTS Code,CTS Full Descriptor,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,AU,AUS,Electricity Generation,Bioenergy,Total Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",1134.0,1345.0,1583.0,1583.0,1799.0,3830.0,3911.0,3953.0,4596.0,2815.0,2777.0,2102.0,3043.0,3152.0,3511.0,3608.0,3722.0,3501.0,3518.0,3496.0,3351.0,3347.0,
Australia,AU,AUS,Electricity Installed Capacity,Bioenergy,Total Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",422.0,575.0,582.0,626.0,696.0,757.0,825.0,840.0,785.0,822.0,825.0,826.0,827.0,817.0,824.0,826.0,864.0,864.0,864.0,864.0,871.0,871.0,872.26
Australia,AU,AUS,Electricity Generation,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",192274.0,206103.0,209504.0,201967.0,209530.0,208244.0,211085.0,221966.0,223347.0,229493.0,230893.0,227433.0,224509.0,216511.0,211256.0,217871.0,219115.0,217564.0,216366.0,212002.0,205247.0,194756.0,
Australia,AU,AUS,Electricity Installed Capacity,Fossil fuels,Total Non-Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",36523.0,37122.0,39746.0,40857.0,40855.0,40058.0,40413.0,42708.0,43484.0,45806.0,48746.0,49218.0,49550.0,49354.0,49880.0,55188.0,53150.0,50354.0,50836.0,50676.0,51955.0,52352.0,53697.0
Australia,AU,AUS,Electricity Generation,Geothermal energy,Total Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",0.1,0.1,0.1,0.1,0.1,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,
Australia,AU,AUS,Electricity Installed Capacity,Geothermal energy,Total Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Australia,AU,AUS,Electricity Generation,Hydropower (excl. Pumped Storage),Total Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",16360.0,16563.0,15877.0,16274.0,16110.0,15309.0,15926.0,14339.0,11909.0,11802.0,13502.0,16694.0,13979.0,18116.0,18338.0,13324.0,15021.0,16037.0,15804.0,15602.0,14764.0,14761.0,
Australia,AU,AUS,Electricity Installed Capacity,Hydropower (excl. Pumped Storage),Total Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",6781.0,6781.0,6781.0,6781.0,6855.0,7461.0,7461.0,7461.0,7461.0,7461.0,7461.0,7461.0,7461.0,7461.0,7461.0,7461.0,7461.0,7461.0,7713.0,7713.0,7713.0,7713.0,7713.0
Australia,AU,AUS,Electricity Generation,Marine energy,Total Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",,,,,,,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,
Australia,AU,AUS,Electricity Installed Capacity,Marine energy,Total Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
Australia,AU,AUS,Electricity Generation,Pumped storage,Total Non-Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",360.0,370.0,177.0,216.0,221.0,303.0,103.0,178.0,148.0,67.0,47.0,113.0,104.0,154.0,83.0,121.0,297.0,248.0,217.0,365.0,386.0,439.0,
Australia,AU,AUS,Electricity Installed Capacity,Pumped storage,Total Non-Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",1490.0,1490.0,1490.0,1490.0,1416.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0
Australia,AU,AUS,Electricity Generation,Solar energy,Total Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",38.0,44.0,50.0,59.0,69.0,79.0,91.0,109.0,127.0,160.0,389.0,1391.0,2325.0,3475.0,4010.0,5023.0,6209.0,8071.0,9930.0,14848.0,21034.0,27717.0,
Australia,AU,AUS,Electricity Installed Capacity,Solar energy,Total Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",25.0,29.0,34.0,39.4,46.4,52.4,61.4,73.0,85.0,332.0,1091.0,2473.0,3799.0,4568.0,5287.0,5946.0,6689.0,7291.0,11365.0,16147.0,20838.0,25757.0,29679.0
Australia,AU,AUS,Electricity Generation,Wind energy,Total Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",58.0,210.0,364.0,703.0,705.0,885.0,1713.0,2611.0,3093.0,3824.0,5052.0,6085.0,6970.0,7960.0,10252.0,11467.0,12199.0,12597.0,15164.0,17712.0,20396.0,24535.0,
Australia,AU,AUS,Electricity Installed Capacity,Wind energy,Total Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",33.0,76.0,106.0,190.0,379.0,740.0,819.0,1249.0,1441.0,1703.0,1864.0,2127.0,2561.0,3221.0,3797.0,4181.0,4324.0,5407.0,6409.0,7881.0,10207.0,10555.0,10555.0
