Country,ISO2,ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,Climate Influence,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Brazil,BR,BRA,Climate Altering Land Cover Index,Index,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCA,Climate Altering Land Cover Index,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Climate Altering Land Cover Index",Climate altering,84.836486595859,85.22373922564559,85.1335616778027,88.4666795608931,88.92926264159749,89.2528889506675,89.914553471697,91.15579438370179,91.0160769856704,91.11836712943989,91.13034629433619,91.2862842416805,94.0158099172089,93.70344690829171,93.37330594099579,94.0944345298165,94.8497752896009,95.6174020191059,96.3248771734764,97.0993152481727,97.8569463367355,98.6096189930204,99.2810533989097,100.0,100.70611481588399,101.423909612211,101.467398561099,101.437544965771,101.38260545232501
Brazil,BR,BRA,Artificial surfaces (including urban and associated areas),1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCS,Artificial Surfaces (Including Urban and Associated Areas),"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Artificial Surfaces (Including Urban and Associated Areas)",Climate altering,998.7828000000001,1029.428,1056.1787,1086.0101000000002,1116.4809,1145.3183000000001,1175.6555,1207.2016999999998,1240.0209,1310.3851000000002,1372.5591000000002,1413.8941,1478.8466,1530.9411,1577.5484,1615.977,1647.8545,1679.1681999999998,1710.5516,1741.2259,1785.072,1854.7213000000002,1906.624,1929.5731,1929.6777,1975.5002,1989.9334,2035.7966000000001,2036.3779
Brazil,BR,BRA,Grassland,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCG,Grassland,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Grassland",Climate regulating,63033.6838,63205.0298,63205.3783,64063.852100000004,64419.366299999994,64868.076,65439.2957,66378.358,66726.5522,67034.3352,67305.4521,67590.7821,69383.1955,69462.1078,69547.38709999999,69631.92390000001,69731.42020000001,69785.57979999999,69831.86,69867.4616,69883.2602,69904.0928,69899.3038,69898.39540000001,69864.20009999999,69827.35220000001,69766.8908,69630.953,69542.6365
Brazil,BR,BRA,Herbaceous crops,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCH,Herbaceous Crops,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Herbaceous Crops",Climate altering,122419.8193,122952.3534,122794.48079999999,127613.6137,128256.1556,128697.9842,129630.3389,131404.4755,131168.39429999999,131246.92609999998,131202.0476,131387.7229,135293.5364,134786.9014,134260.1638,135270.7277,136337.68480000002,137423.3062,138420.9873,139516.9249,140575.43730000002,141600.628,142525.6264,143548.5956,144575.6212,145573.988,145622.9802,145533.63,145457.90159999998
Brazil,BR,BRA,Inland water bodies,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCW,Inland Water Bodies,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Inland Water Bodies",Climate regulating,10471.2,11094.9,11094.7,11412.5,11708.0,11942.7,12233.7,12519.5,12594.8,12664.6,12764.4,12753.1,13313.7,13293.1,13272.5,13261.8,13257.3,13261.3,13253.6,13289.6,13295.8,13299.7,13327.9,13327.7,13332.2,13340.3,13327.8,13340.1,13361.4
Brazil,BR,BRA,Mangroves,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCM,Mangroves,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Mangroves",Climate regulating,652.6175,647.913,647.913,648.8818,648.4167,646.5644,643.193,640.4416,640.8368,640.5346,640.5191,640.6276,616.9655,617.4615,619.2984,619.7479000000001,619.6859000000001,620.7321999999999,620.7321999999999,619.7556,619.2674000000001,619.1279000000001,618.6241,618.5853000000001,619.7866,620.0889,620.8562,622.5148,622.197
Brazil,BR,BRA,Permanent snow and glaciers,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCL,Permanent Snow and Glaciers,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Permanent Snow and Glaciers",Climate regulating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BR,BRA,Shrub-covered areas,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCC,Shrub-Covered Areas,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Shrub-Covered Areas",Climate regulating,148715.25530000002,149064.1536,149052.674,148974.4739,148765.5812,148506.336,148481.1895,148091.802,147555.4015,147527.6114,147412.2597,147646.713,149378.1869,149366.0308,149493.4845,149431.3707,149478.929,149444.6686,149494.1219,149763.7142,149764.06480000002,149861.2854,149799.2679,149794.78830000001,149381.26859999998,149203.3034,149023.4479,148733.8405,148543.8792
Brazil,BR,BRA,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCV,Shrubs and/or Herbaceous Vegetation and Aquatic Or Regularly Flooded,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Shrubs and/or Herbaceous Vegetation and Aquatic Or Regularly Flooded",Climate regulating,12777.9,13049.2,13048.9,13181.9,13234.7,13290.1,13263.8,13344.2,13371.1,13359.9,13360.4,13391.8,13953.5,13969.4,13988.5,14013.7,14037.6,14049.8,14037.8,14035.9,14037.6,14036.6,14020.2,14019.9,13957.7,13967.4,13999.3,14007.4,14019.7
Brazil,BR,BRA,Sparsely natural vegetated areas,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCN,Sparsely Natural Vegetated Areas,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Sparsely Natural Vegetated Areas",Climate neutral,179.98829999999998,176.6944,173.726,168.7502,165.557,162.8134,160.42620000000002,159.5349,158.5816,154.1949,144.9486,143.1815,141.7012,140.7789,141.1586,141.46089999999998,141.7167,143.39079999999998,146.7545,146.65370000000001,148.66879999999998,149.1803,149.0796,148.7928,157.357,157.1245,159.7519,164.36339999999998,164.4642
Brazil,BR,BRA,Terrestrial barren land,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCT,Terrestrial Barren Land,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Terrestrial Barren Land",Climate neutral,451.7495,451.8658,451.703,448.5098,449.38559999999995,446.487,445.2314,443.503,437.23290000000003,382.3211,369.0911,367.3705,367.6961,369.0446,369.2616,369.16859999999997,370.0754,370.0987,370.0987,370.18390000000005,370.2072,369.80420000000004,368.8121,368.5719,373.8266,373.05940000000004,372.7261,372.4316,371.7573
