Country,ISO2,ISO3,Indicator,Technology,Energy Type,Unit,Source,CTS Name,CTS Code,CTS Full Descriptor,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cambodia,KH,KHM,Electricity Generation,Bioenergy,Total Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",,,,,,0.122,1.68,5.253,4.532,6.486,5.819,11.907,13.347,14.12,38.63,70.99,79.28,96.08,99.473,120.53,91.38,75.47,
Cambodia,KH,KHM,Electricity Installed Capacity,Bioenergy,Total Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",,,,,,0.102,4.512,4.602,5.092,5.776,5.776,8.5,35.5,27.57,35.64,34.445,32.07,52.07,52.77,52.77,45.07,43.07,52.07
Cambodia,KH,KHM,Electricity Generation,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",525.0,525.0,523.045,596.376,714.809,835.71,1034.815,1294.356,1433.296,1180.683,930.811,955.111,893.983,747.74,1189.99,2291.48,2872.55,3858.68,3355.875,4465.86,4365.78,4009.24,
Cambodia,KH,KHM,Electricity Installed Capacity,Fossil fuels,Total Non-Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",170.576,170.576,170.576,174.948,176.824,218.273,282.664,296.85,366.143,353.003,340.972,355.481,334.005,456.993,559.268,707.629,733.415,859.34,818.024,978.226,1334.06,1294.598,1667.6
Cambodia,KH,KHM,Electricity Generation,Hydropower (excl. Pumped Storage),Total Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",40.0,30.0,29.145,40.509,28.422,43.542,50.609,49.707,46.284,47.425,31.734,51.522,517.37,1015.54,1851.6,2159.64,2567.96,2711.14,4737.013,4025.34,3860.03,5043.94,
Cambodia,KH,KHM,Electricity Installed Capacity,Hydropower (excl. Pumped Storage),Total Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",10.0,10.0,12.0,12.0,13.0,12.96,12.96,12.96,13.386,13.35,13.33,207.06,225.43,683.43,929.43,929.7,930.0,979.7,1329.7,1329.7,1329.7,1329.7,1331.7
Cambodia,KH,KHM,Electricity Generation,Solar energy,Total Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",0.136,0.268,0.41,0.476,0.522,0.787,1.005,2.256,2.758,3.103,3.185,5.654,6.797,8.521,13.321,17.674,26.627,32.859,43.17,120.455,316.09,637.227,
Cambodia,KH,KHM,Electricity Installed Capacity,Solar energy,Total Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",0.094,0.185,0.283,0.328,0.36,0.543,0.693,1.556,1.902,2.14,2.196,3.899,4.687,5.877,9.187,12.189,18.363,29.467,28.91,124.001,314.958,375.604,455.522
Cambodia,KH,KHM,Electricity Generation,Wind energy,Total Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",,,,,,,,,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
Cambodia,KH,KHM,Electricity Installed Capacity,Wind energy,Total Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",,,,,,,,,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
