index,dengue_total,surface_temperature_change,CO2_emissions,Tree_covered_areas,solar_electricity_use
AUSTRALIA_1961,NaN,0.158,NaN,NaN,NaN
AUSTRALIA_1962,NaN,0.132,NaN,NaN,NaN
AUSTRALIA_1963,NaN,-0.09699999999999999,NaN,NaN,NaN
AUSTRALIA_1964,NaN,-0.015,NaN,NaN,NaN
AUSTRALIA_1965,NaN,0.147,NaN,NaN,NaN
AUSTRALIA_1966,NaN,-0.22899999999999998,NaN,NaN,NaN
AUSTRALIA_1967,NaN,-0.081,NaN,NaN,NaN
AUSTRALIA_1968,NaN,-0.19899999999999998,NaN,NaN,NaN
AUSTRALIA_1969,NaN,0.11,NaN,NaN,NaN
AUSTRALIA_1970,NaN,0.006999999999999999,NaN,NaN,NaN
AUSTRALIA_1971,NaN,-0.01,NaN,NaN,NaN
AUSTRALIA_1972,NaN,0.10300000000000001,NaN,NaN,NaN
AUSTRALIA_1973,NaN,0.841,NaN,NaN,NaN
AUSTRALIA_1974,NaN,-0.348,NaN,NaN,NaN
AUSTRALIA_1975,NaN,0.053,NaN,NaN,NaN
AUSTRALIA_1976,NaN,-0.52,NaN,NaN,NaN
AUSTRALIA_1977,NaN,0.16399999999999998,NaN,NaN,NaN
AUSTRALIA_1978,NaN,0.057999999999999996,NaN,NaN,NaN
AUSTRALIA_1979,15.0,0.345,NaN,NaN,NaN
AUSTRALIA_1980,13.0,0.843,NaN,NaN,NaN
AUSTRALIA_1981,0.0,0.446,NaN,NaN,NaN
AUSTRALIA_1982,375.0,0.138,NaN,NaN,NaN
AUSTRALIA_1983,NaN,0.5820000000000001,NaN,NaN,NaN
AUSTRALIA_1984,NaN,-0.21100000000000002,NaN,NaN,NaN
AUSTRALIA_1985,NaN,0.294,NaN,NaN,NaN
AUSTRALIA_1986,NaN,0.336,NaN,NaN,NaN
AUSTRALIA_1987,NaN,0.312,NaN,NaN,NaN
AUSTRALIA_1988,NaN,0.9159999999999999,NaN,NaN,NaN
AUSTRALIA_1989,NaN,0.1,NaN,NaN,NaN
AUSTRALIA_1990,NaN,0.5,NaN,NaN,NaN
AUSTRALIA_1991,46.0,0.763,NaN,NaN,NaN
AUSTRALIA_1992,366.0,0.24,NaN,76753.5388,NaN
AUSTRALIA_1993,690.0,0.436,NaN,76752.5673,NaN
AUSTRALIA_1994,17.0,0.17,NaN,76751.5565,NaN
AUSTRALIA_1995,39.0,0.358,293.607,76366.0705,NaN
AUSTRALIA_1996,123.0,0.539,304.51,76549.87670000001,NaN
AUSTRALIA_1997,205.0,0.321,312.782,76621.3853,NaN
AUSTRALIA_1998,581.0,1.028,333.24199999999996,76630.1473,NaN
AUSTRALIA_1999,181.0,0.516,339.506,76491.3742,NaN
AUSTRALIA_2000,217.0,0.084,345.673,76281.556,38.0
AUSTRALIA_2001,183.0,0.275,351.727,75686.37509999999,44.0
AUSTRALIA_2002,224.0,0.667,358.478,75646.1483,50.0
AUSTRALIA_2003,868.0,0.775,358.711,75640.87090000001,59.0
AUSTRALIA_2004,356.0,0.6559999999999999,373.031,75758.282,69.0
AUSTRALIA_2005,219.0,1.126,378.225,75838.1943,79.0
AUSTRALIA_2006,188.0,0.639,385.43199999999996,75946.4588,91.0
AUSTRALIA_2007,316.0,0.855,395.972,75956.7435,109.0
AUSTRALIA_2008,557.0,0.546,398.278,75973.70490000001,127.0
AUSTRALIA_2009,1404.0,0.95,406.97,76079.0507,160.0
